stadiums,capacity,region,country,city,original_stadium_name,location,lat,lon
Rungrado 1st of May Stadium,114000,East Asia,North Korea,Pyongyang,Rungrado 1st of May Stadium,"[39.0496732, 125.7753215]",39.0496732,125.7753215
Michigan Stadium,107601,North America,United States,Ann Arbor - Michigan,Michigan Stadium,"[42.2658749, -83.7486841]",42.2658749,-83.7486841
Ohio Stadium,102780,North America,United States,Columbus - Ohio,Ohio Stadium,"[40.0016458, -83.0197374]",40.0016458,-83.0197374
Melbourne Cricket Ground,100024,Oceania,Australia,Melbourne,Melbourne Cricket Ground,"[-37.819909, 144.983225]",-37.819909,144.983225
Camp Nou,99354,Europe,Spain,Barcelona - Catalonia,Camp Nou,"[41.3808046, 2.1158872]",41.3808046,2.1158872
FNB Stadium,94736,Africa,South Africa,Johannesburg,FNB Stadium,"[-26.2347063, 27.9826439]",-26.2347063,27.9826439
New Administrative Capital Stadium,93940,Africa,Egypt,New Administrative Capital,New Administrative Capital Stadium,"[29.8921738, 31.673227]",29.8921738,31.673227
Rose Bowl Stadium,92800,North America,United States,Pasadena - California,Rose Bowl Stadium,"[34.1613492, -118.1676674]",34.1613492,-118.1676674
Cotton Bowl Stadium,92100,North America,United States,Dallas,Cotton Bowl Stadium,"[32.7796119, -96.7596025]",32.7796119,-96.7596025
Wembley Stadium,90000,Europe,England,London - England,Wembley Stadium,"[51.5560695, -0.2796034]",51.5560695,-0.2796034
Lusail Stadium,88966,West Asia,Qatar,Lusail,Lusail Stadium,"[25.4208329, 51.4904784]",25.4208329,51.4904784
Estadio Azteca,87523,North America,Mexico,Mexico City,Estadio Azteca,"[19.3029794, -99.15047]",19.3029794,-99.15047
Bukit Jalil National Stadium,87411,Southeast Asia,Malaysia,Kuala Lumpur,Bukit Jalil National Stadium,"[3.0546755, 101.691369]",3.0546755,101.691369
Borg El-Arab Stadium,86000,Africa,Egypt,Alexandria,Borg El-Arab Stadium,"[30.9998511, 29.7296488]",30.9998511,29.7296488
Estadio Santiago Bernabéu,85000,Europe,Spain,Madrid,Estadio Santiago Bernabéu,"[40.4530225, -3.687422]",40.4530225,-3.687422
Estadio Mâs Monumental,84567,South America,Argentina,Buenos Aires,Estadio Mâs Monumental,"[-34.5452933, -58.4497385]",-34.5452933,-58.4497385
Stadium Australia,83500,Oceania,Australia,Sydney,Stadium Australia,"[-33.8471082, 151.0633848]",-33.8471082,151.0633848
MetLife Stadium,82500,North America,United States,East Rutherford - New Jersey,MetLife Stadium,"[40.813507, -74.0743442]",40.813507,-74.0743442
Croke Park,82300,Europe,Ireland,Dublin,Croke Park,"[53.3603576, -6.2509812]",53.3603576,-6.2509812
Jakarta International Stadium,82000,Southeast Asia,Indonesia,Jakarta,Jakarta International Stadium,"[-6.1250747, 106.860201]",-6.1250747,106.860201
Lambeau Field,81441,North America,United States,Green Bay - Wisconsin,Lambeau Field,"[44.5009705, -88.0619681]",44.5009705,-88.0619681
Signal Iduna Park,81365,Europe,Germany,Dortmund,Signal Iduna Park,"[51.4924922, 7.4518549]",51.4924922,7.4518549
Stade de France,81338,Europe,France,Saint-Denis,Stade de France,"[48.9244726, 2.3601325]",48.9244726,2.3601325
Grand Sports Arena of the Luzhniki Olympic Complex,81000,Europe,Russia,Moscow,Grand Sports Arena of the Luzhniki Olympic Complex,"[55.7157445, 37.5537673]",55.7157445,37.5537673
Shah Alam Stadium,80372,Southeast Asia,Malaysia,Shah Alam - Selangor,Shah Alam Stadium,"[3.0821312, 101.5451144]",3.0821312,101.5451144
Estadio Monumental,80093,South America,Peru,Lima,Estadio Monumental,"[-12.0556474, -76.9353339]",-12.0556474,-76.9353339
Stadio Giuseppe Meazza,80018,Europe,Italy,Milan - Lombardy,Stadio Giuseppe Meazza,"[45.4782003, 9.123964]",45.4782003,9.123964
Guangdong Olympic Stadium,80012,East Asia,China,Guangzhou,Guangdong Olympic Stadium,"[23.1380362, 113.4034296]",23.1380362,113.4034296
